Item ID,Item Name,Group,State,Created At,Updated At,Subitems,Program Dates,Student Number,Total number of participants,Delivery Mode,Logistics/Buddy,APM Travel,Program Designer,Review Date,Mastersheet,Mastersheet Link,Pre-Dept Status,Pre-Dept Guide Due Date,Company / Org Visits,# Visits Required,# Visits Done,# Visits Remaining,Hotels,Visits/Projects,Meeting Rooms,Guides,Transport,Flights,Trains,Meals,Immersions,APM Bookings,Student Testimonials,WOW Element,Post Program Checklist,Invoice 1 Due Date,Invoice 1,Invoice 2 Due Date,Invoice 2,Post Program,Updates
18198936646,2026-05 UNC Charlotte Thailand,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:34Z,2026-03-17T10:19:42Z,,2026-05-23 - 2026-06-14,9,11,APM,Aakash Korandla,Aakash Korandla,Komal Mishra,,Yet to be done,,,,Design Team will work on it,7,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,[2026-01-27 Vedanth Maheshwari] @Vedanth Maheshwari Send updated itinerary
18198936782,2026-06 UTK Bordeaux,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:37Z,2026-03-19T11:08:59Z,,2026-05-30 - 2026-06-27,,,Remote,Vedanth Maheshwari,lorenzo@authentica.com,lorenzo@authentica.com,,Yet to be done,,,,Not Required,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,"[2026-01-27 Vedanth Maheshwari] @Aakash Korandla To handoff logistics to Lorenzo
@Vedanth Maheshwari To introduce faculty to Lorenzo"
18198937371,2026-06 Mesa Community College Italy,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:48Z,2026-03-19T11:11:09Z,,2026-06-01 - 2026-06-17,15,17,APM,lorenzo@authentica.com,lorenzo@authentica.com,lorenzo@authentica.com,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
18198937566,2026-06 SDSU South Korea,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:51Z,2026-03-19T11:51:01Z,,2026-06-01 - 2026-06-15,28,,Remote,Aakash Korandla,Aakash Korandla,Komal Mishra,,Yet to be done,,,,Design Team will work on it,0,0,,Advance Paid,NA,Advance Paid,Done,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,"[2026-01-27 Vedanth Maheshwari] @Vedanth Maheshwari Book centrally located hostel in Seoul.

@Aakash Korandla Check how much money we lose on Haru | [2026-03-12 Aakash Korandla] Will get to know the final student count by 20th March 2026 | [2026-03-12 Aakash Korandla] Advance paid for hostel haru

Note on Hotels - Advance Paid | [2026-03-12 Aakash Korandla] Awaiting final count of students

Note on Invoice 1 - Yet to send | [2026-03-17 Aakash Korandla] Kim's has blocked Esther

Note on Guides - Done"
18198937782,2026-06 UF South Korea,Programs in Planning and Delivery Phase,active,2025-10-16T10:13:57Z,2026-03-17T10:01:11Z,,2026-06-14 - 2026-07-27,15,17,Remote,Bhavana Saroj,Bhavana Saroj,Divyanjali,2026-03-16,Created,UF South Korea - https://sheet.zohopublic.com/sheet/published/m26bqb46f6225589841f0aeadc02dd36715fa,,,Design Team will work on it,,,,Rooms Blocked,NA,NA,Blocked,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
18198958132,2026-06 UCSD Amsterdam,Programs in Planning and Delivery Phase,active,2025-10-16T10:18:20Z,2026-03-19T11:49:57Z,,2026-06-28 - 2026-08-01,28,,Remote,Siddhanth Waghmare,Siddhanth Waghmare,Divyanjali,2026-03-17,Yet to be done,,Working on it,,Design Team will work on it,,,,Rooms Blocked,NA,Blocked,Blocked,Blocked,NA,NA,Booked,Blocked,,Not Allowed,NA,,,Yet to send,,NA,NA,
18198958538,2026-06 UCSD Australia,Programs in Planning and Delivery Phase,active,2025-10-16T10:18:23Z,2026-03-17T10:26:59Z,,2026-06-28 - 2026-08-01,,,Remote,Vedanth Maheshwari,Vedanth Maheshwari,Divyanjali,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
10762661639,2026-03 USD SOLES Healthcare Japan,Programs in Planning and Delivery Phase,active,2025-12-12T11:13:19Z,2026-03-17T09:40:34Z,,2026-03-21 - 2026-03-29,16,18,Remote,Bhavana Saroj,Bhavana Saroj,,2026-03-16,Created,USD SOLES Japan - https://sheet.zoho.com/sheet/open/fhok9cc0d1d3dd5b2422bb6324824579a622a?sheetid=0&range=E8,Done,,Not Required,0,0,,Done,NA,NA,Done,Done,NA,NA,Dietary Shared & Menu Finalized,Done,NA,Not Allowed,NA,,,Money Received,,Money Received,NA,"[2026-02-24 Vedanth Maheshwari] @Bhavana Saroj 
Confirm additional nights for professors

Note on Hotels - Stuck"
10847044965,2026-06 Indiana South Korea,Programs in Planning and Delivery Phase,active,2025-12-24T11:03:18Z,2026-03-19T11:50:02Z,,2026-06-08 - 2026-06-15,12,13,APM,Aakash Korandla,Aakash Korandla,Komal Mishra,,Yet to be done,,,,Design Team will work on it,0,0,,Rooms Blocked,NA,NA,Blocked,Blocked,NA,NA,Booked,Blocked,,Not Allowed,NA,,,Money Received,,NA,NA,"[2026-01-27 Vedanth Maheshwari] @Aakash Korandla Book a new guide | [2026-03-06 Aakash Korandla] * 12 students (7 females, 5 males) including 5 twin rooms with two separate beds, and 2 single rooms
* Need and APM
* No DMZ tour
* No classroom space needed for the entire program"
11106835004,2026-06 UCSD Modern Japan,Programs in Planning and Delivery Phase,active,2026-01-27T08:28:37Z,2026-03-19T11:50:06Z,,2026-06-28 - 2026-08-01,,,Remote,Bhavana Saroj,Bhavana Saroj,Komal Mishra,2026-03-16,Created,UCSD Japan - https://sheet.zohopublic.com/sheet/published/m26bqf7276c2543fe4a2da08c09a929bdd91c,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
11106867837,2026-05 USD SOLES China,Programs in Planning and Delivery Phase,active,2026-01-27T08:37:31Z,2026-03-19T11:50:10Z,,2026-05-09 - 2026-05-19,15,16,APM,Vedanth Maheshwari,Vedanth Maheshwari,Divyanjali,,Yet to be done,,,,Design Team will work on it,,,,Rooms Blocked,NA,Blocked,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Money Received,,Invoice sent,NA,"[2026-03-09 Aakash Korandla] Call on 24 November with Linda, Jessica and May Faird:
- Group size: 15 students + 1 faculty

- Students gender split: 5 males + 10 females

- Rooms: 6 twins + 3 singles + 1 single for faculty + 1 single for APM

- They need an APM on this program

- As of now, block both sets of hotels but they are leaning towards Beijing Landmark Towers and Metropark Jichen Hotel

- Need to create a Monday.com board for the program

- Professor is leading a group for the first time, so need an APM to work with her from the planning phase"
11107573193,2026-05 GWSB CAP South Africa,Programs in Planning and Delivery Phase,active,2026-01-27T10:56:54Z,2026-03-19T11:50:16Z,,2026-05-02 - 2026-05-10,14,17,APM,Siddhanth Waghmare,Siddhanth Waghmare,Divyanjali,2026-03-17,Yet to be done,,Working on it,,Design Team will work on it,,,,Advance Paid,NA,Blocked,Blocked,Blocked,Stuck,NA,Booked,Stuck,,Not Allowed,NA,,,Yet to send,,NA,NA,"[2026-03-17 Siddhanth Waghmare] Confirm Robben island immersion @Siddhanth Waghmare 

Note on Immersions - Stuck"
11107599670,2026-05 IGL Vietnam Thailand,Programs in Planning and Delivery Phase,active,2026-01-27T10:56:56Z,2026-03-19T11:50:34Z,,2026-05-09 - 2026-07-04,48,48,Remote,Bhavana Saroj,Bhavana Saroj,Komal Mishra,2026-03-16,Created,IGL Vietnam Thailand - https://sheet.zoho.com/sheet/open/3krgid3ba55d6d8ba49e795747d138d323e31?sheetid=14&range=A1:D1,Working on it,,Design Team will work on it,13,13,,Rooms Blocked,Students Assigned,Stuck,Stuck,Stuck,NA,NA,Stuck,Stuck,NA,Not Allowed,NA,,,Yet to send,,NA,NA,"[2026-03-17 Siddhanth Waghmare] Confirm meeting room blocks from Abroader/Meen @Bhavana Saroj 

Note on Meeting Rooms - Stuck | [2026-03-17 Siddhanth Waghmare] Confirm guides @Bhavana Saroj 

Note on Guides - Stuck"
11107532007,"2026-06 UNC Florence, Italy",Programs in Planning and Delivery Phase,active,2026-01-27T10:57:01Z,2026-03-16T04:24:29Z,,2026-06-04 - 2026-06-26,,,APM,lorenzo@authentica.com,lorenzo@authentica.com,lorenzo@authentica.com,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
11512975065,2026 Swinburne Summer Internships Korea Germany,Programs in Planning and Delivery Phase,active,2026-03-16T06:15:44Z,2026-03-19T11:09:34Z,,2026-06-27 - 2026-07-25,,,,Bhavana Saroj,,Komal Mishra,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
11512973662,2026-06 Griffith NCP Vietnam,Programs in Planning and Delivery Phase,active,2026-03-16T06:15:55Z,2026-03-19T11:50:40Z,,2026-06-22 - 2026-07-19,,,,Bhavana Saroj,,Komal Mishra,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
11512973149,2026-09 Stanford UAE,Programs in Planning and Delivery Phase,active,2026-03-16T06:15:58Z,2026-03-19T11:50:47Z,,2026-08-29 - 2026-09-18,,,APM,Siddhanth Waghmare,Siddhanth Waghmare,Divyanjali,2026-03-17,Yet to be done,,,,Design Team will work on it,,,,Stuck,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,"[2026-03-17 Siddhanth Waghmare] Stuck for Dubai - ibis One Central, due to the ongoing conflict in middle east

Note on Hotels - Stuck"
11512967659,"2026-10 USC MKT Dublin, Ireland",Programs in Planning and Delivery Phase,active,2026-03-16T06:16:01Z,2026-03-19T11:50:52Z,,2026-10-03 - 2026-10-10,,,,Aakash Korandla,,Komal Mishra,,Yet to be done,,,,Design Team will work on it,,,,Quotes Received,NA,NA,WIP,Quote Received,NA,NA,WIP,,,Not Allowed,NA,,,Yet to send,,NA,NA,
